F_id1,F_id2,Hamming Distance
f_7_1,f_8_1,23
f_7_1,f_9_1,24
f_7_1,f_10_1,29
f_7_1,f_12_1,26
f_7_1,f_11_1,25
f_7_1,f_13_1,29
f_7_1,f_14_1,28
f_7_1,f_15_1,21
f_7_1,f_16_1,27
f_7_1,f_1_1,23
f_7_1,f_2_1,26
f_7_1,f_3_1,27
f_7_1,f_4_1,27
f_7_1,f_5_1,34
f_7_1,f_6_1,31
f_8_1,f_9_1,25
f_8_1,f_10_1,16
f_8_1,f_12_1,17
f_8_1,f_11_1,18
f_8_1,f_13_1,24
f_8_1,f_14_1,19
f_8_1,f_15_1,22
f_8_1,f_16_1,22
f_8_1,f_1_1,22
f_8_1,f_2_1,27
f_8_1,f_3_1,18
f_8_1,f_4_1,24
f_8_1,f_5_1,23
f_8_1,f_6_1,22
f_9_1,f_10_1,25
f_9_1,f_12_1,28
f_9_1,f_11_1,29
f_9_1,f_13_1,31
f_9_1,f_14_1,24
f_9_1,f_15_1,29
f_9_1,f_16_1,27
f_9_1,f_1_1,25
f_9_1,f_2_1,32
f_9_1,f_3_1,27
f_9_1,f_4_1,23
f_9_1,f_5_1,24
f_9_1,f_6_1,25
f_10_1,f_12_1,27
f_10_1,f_11_1,22
f_10_1,f_13_1,20
f_10_1,f_14_1,17
f_10_1,f_15_1,16
f_10_1,f_16_1,18
f_10_1,f_1_1,26
f_10_1,f_2_1,23
f_10_1,f_3_1,16
f_10_1,f_4_1,26
f_10_1,f_5_1,25
f_10_1,f_6_1,26
f_12_1,f_11_1,19
f_12_1,f_13_1,25
f_12_1,f_14_1,22
f_12_1,f_15_1,23
f_12_1,f_16_1,27
f_12_1,f_1_1,21
f_12_1,f_2_1,26
f_12_1,f_3_1,23
f_12_1,f_4_1,23
f_12_1,f_5_1,16
f_12_1,f_6_1,23
f_11_1,f_13_1,26
f_11_1,f_14_1,13
f_11_1,f_15_1,22
f_11_1,f_16_1,26
f_11_1,f_1_1,28
f_11_1,f_2_1,29
f_11_1,f_3_1,24
f_11_1,f_4_1,22
f_11_1,f_5_1,25
f_11_1,f_6_1,22
f_13_1,f_14_1,25
f_13_1,f_15_1,26
f_13_1,f_16_1,28
f_13_1,f_1_1,26
f_13_1,f_2_1,29
f_13_1,f_3_1,26
f_13_1,f_4_1,32
f_13_1,f_5_1,33
f_13_1,f_6_1,24
f_14_1,f_15_1,21
f_14_1,f_16_1,23
f_14_1,f_1_1,29
f_14_1,f_2_1,26
f_14_1,f_3_1,23
f_14_1,f_4_1,23
f_14_1,f_5_1,24
f_14_1,f_6_1,23
f_15_1,f_16_1,20
f_15_1,f_1_1,26
f_15_1,f_2_1,21
f_15_1,f_3_1,22
f_15_1,f_4_1,26
f_15_1,f_5_1,19
f_15_1,f_6_1,28
f_16_1,f_1_1,24
f_16_1,f_2_1,17
f_16_1,f_3_1,28
f_16_1,f_4_1,28
f_16_1,f_5_1,27
f_16_1,f_6_1,30
f_1_1,f_2_1,19
f_1_1,f_3_1,20
f_1_1,f_4_1,26
f_1_1,f_5_1,27
f_1_1,f_6_1,30
f_2_1,f_3_1,27
f_2_1,f_4_1,29
f_2_1,f_5_1,26
f_2_1,f_6_1,27
f_3_1,f_4_1,24
f_3_1,f_5_1,25
f_3_1,f_6_1,26
f_4_1,f_5_1,25
f_4_1,f_6_1,26
f_5_1,f_6_1,21
