F_id1,F_id2,Hamming Distance
f_7_1,f_8_1,34
f_7_1,f_9_1,34
f_7_1,f_10_1,36
f_7_1,f_12_1,34
f_7_1,f_11_1,34
f_7_1,f_13_1,22
f_7_1,f_14_1,32
f_7_1,f_15_1,24
f_7_1,f_16_1,32
f_7_1,f_1_1,32
f_7_1,f_2_1,34
f_7_1,f_3_1,32
f_7_1,f_4_1,26
f_7_1,f_5_1,36
f_7_1,f_6_1,38
f_8_1,f_9_1,36
f_8_1,f_10_1,22
f_8_1,f_12_1,26
f_8_1,f_11_1,24
f_8_1,f_13_1,26
f_8_1,f_14_1,34
f_8_1,f_15_1,30
f_8_1,f_16_1,22
f_8_1,f_1_1,36
f_8_1,f_2_1,30
f_8_1,f_3_1,26
f_8_1,f_4_1,32
f_8_1,f_5_1,30
f_8_1,f_6_1,26
f_9_1,f_10_1,32
f_9_1,f_12_1,30
f_9_1,f_11_1,28
f_9_1,f_13_1,26
f_9_1,f_14_1,30
f_9_1,f_15_1,32
f_9_1,f_16_1,34
f_9_1,f_1_1,22
f_9_1,f_2_1,34
f_9_1,f_3_1,24
f_9_1,f_4_1,32
f_9_1,f_5_1,30
f_9_1,f_6_1,24
f_10_1,f_12_1,30
f_10_1,f_11_1,20
f_10_1,f_13_1,26
f_10_1,f_14_1,26
f_10_1,f_15_1,28
f_10_1,f_16_1,22
f_10_1,f_1_1,38
f_10_1,f_2_1,28
f_10_1,f_3_1,24
f_10_1,f_4_1,34
f_10_1,f_5_1,34
f_10_1,f_6_1,32
f_12_1,f_11_1,20
f_12_1,f_13_1,20
f_12_1,f_14_1,30
f_12_1,f_15_1,24
f_12_1,f_16_1,36
f_12_1,f_1_1,30
f_12_1,f_2_1,32
f_12_1,f_3_1,30
f_12_1,f_4_1,26
f_12_1,f_5_1,20
f_12_1,f_6_1,26
f_11_1,f_13_1,30
f_11_1,f_14_1,26
f_11_1,f_15_1,26
f_11_1,f_16_1,26
f_11_1,f_1_1,32
f_11_1,f_2_1,32
f_11_1,f_3_1,26
f_11_1,f_4_1,26
f_11_1,f_5_1,34
f_11_1,f_6_1,28
f_13_1,f_14_1,30
f_13_1,f_15_1,30
f_13_1,f_16_1,30
f_13_1,f_1_1,32
f_13_1,f_2_1,30
f_13_1,f_3_1,24
f_13_1,f_4_1,22
f_13_1,f_5_1,34
f_13_1,f_6_1,32
f_14_1,f_15_1,26
f_14_1,f_16_1,26
f_14_1,f_1_1,32
f_14_1,f_2_1,26
f_14_1,f_3_1,26
f_14_1,f_4_1,26
f_14_1,f_5_1,30
f_14_1,f_6_1,34
f_15_1,f_16_1,30
f_15_1,f_1_1,26
f_15_1,f_2_1,24
f_15_1,f_3_1,28
f_15_1,f_4_1,26
f_15_1,f_5_1,30
f_15_1,f_6_1,32
f_16_1,f_1_1,32
f_16_1,f_2_1,26
f_16_1,f_3_1,36
f_16_1,f_4_1,32
f_16_1,f_5_1,36
f_16_1,f_6_1,34
f_1_1,f_2_1,28
f_1_1,f_3_1,30
f_1_1,f_4_1,30
f_1_1,f_5_1,30
f_1_1,f_6_1,26
f_2_1,f_3_1,30
f_2_1,f_4_1,32
f_2_1,f_5_1,28
f_2_1,f_6_1,28
f_3_1,f_4_1,24
f_3_1,f_5_1,26
f_3_1,f_6_1,26
f_4_1,f_5_1,28
f_4_1,f_6_1,30
f_5_1,f_6_1,22
