F_id1,F_id2,Hamming Distance
f_7_1,f_8_1,22
f_7_1,f_9_1,30
f_7_1,f_10_1,28
f_7_1,f_12_1,26
f_7_1,f_11_1,30
f_7_1,f_13_1,26
f_7_1,f_14_1,28
f_7_1,f_15_1,26
f_7_1,f_16_1,28
f_7_1,f_1_1,24
f_7_1,f_2_1,24
f_7_1,f_3_1,24
f_7_1,f_4_1,30
f_7_1,f_5_1,28
f_7_1,f_6_1,32
f_8_1,f_9_1,20
f_8_1,f_10_1,16
f_8_1,f_12_1,16
f_8_1,f_11_1,22
f_8_1,f_13_1,22
f_8_1,f_14_1,16
f_8_1,f_15_1,24
f_8_1,f_16_1,22
f_8_1,f_1_1,22
f_8_1,f_2_1,24
f_8_1,f_3_1,24
f_8_1,f_4_1,20
f_8_1,f_5_1,20
f_8_1,f_6_1,18
f_9_1,f_10_1,30
f_9_1,f_12_1,22
f_9_1,f_11_1,32
f_9_1,f_13_1,26
f_9_1,f_14_1,26
f_9_1,f_15_1,26
f_9_1,f_16_1,30
f_9_1,f_1_1,24
f_9_1,f_2_1,30
f_9_1,f_3_1,26
f_9_1,f_4_1,24
f_9_1,f_5_1,24
f_9_1,f_6_1,22
f_10_1,f_12_1,18
f_10_1,f_11_1,18
f_10_1,f_13_1,22
f_10_1,f_14_1,10
f_10_1,f_15_1,20
f_10_1,f_16_1,12
f_10_1,f_1_1,20
f_10_1,f_2_1,22
f_10_1,f_3_1,18
f_10_1,f_4_1,24
f_10_1,f_5_1,20
f_10_1,f_6_1,22
f_12_1,f_11_1,22
f_12_1,f_13_1,18
f_12_1,f_14_1,14
f_12_1,f_15_1,20
f_12_1,f_16_1,26
f_12_1,f_1_1,22
f_12_1,f_2_1,26
f_12_1,f_3_1,20
f_12_1,f_4_1,24
f_12_1,f_5_1,12
f_12_1,f_6_1,20
f_11_1,f_13_1,24
f_11_1,f_14_1,18
f_11_1,f_15_1,30
f_11_1,f_16_1,20
f_11_1,f_1_1,32
f_11_1,f_2_1,30
f_11_1,f_3_1,26
f_11_1,f_4_1,22
f_11_1,f_5_1,22
f_11_1,f_6_1,26
f_13_1,f_14_1,24
f_13_1,f_15_1,32
f_13_1,f_16_1,26
f_13_1,f_1_1,22
f_13_1,f_2_1,24
f_13_1,f_3_1,24
f_13_1,f_4_1,32
f_13_1,f_5_1,26
f_13_1,f_6_1,24
f_14_1,f_15_1,18
f_14_1,f_16_1,18
f_14_1,f_1_1,28
f_14_1,f_2_1,22
f_14_1,f_3_1,20
f_14_1,f_4_1,20
f_14_1,f_5_1,16
f_14_1,f_6_1,22
f_15_1,f_16_1,26
f_15_1,f_1_1,26
f_15_1,f_2_1,24
f_15_1,f_3_1,20
f_15_1,f_4_1,26
f_15_1,f_5_1,20
f_15_1,f_6_1,24
f_16_1,f_1_1,24
f_16_1,f_2_1,20
f_16_1,f_3_1,24
f_16_1,f_4_1,24
f_16_1,f_5_1,28
f_16_1,f_6_1,26
f_1_1,f_2_1,20
f_1_1,f_3_1,24
f_1_1,f_4_1,32
f_1_1,f_5_1,28
f_1_1,f_6_1,28
f_2_1,f_3_1,28
f_2_1,f_4_1,32
f_2_1,f_5_1,28
f_2_1,f_6_1,32
f_3_1,f_4_1,24
f_3_1,f_5_1,26
f_3_1,f_6_1,26
f_4_1,f_5_1,24
f_4_1,f_6_1,26
f_5_1,f_6_1,20
